feed_product_id,sku,name,qty,status,visibility,price,type_id,description,image,tags
PROD1;SKU1;"Product 1";21;0;false;89.35;simple;"Description for Sample Product 1";https://picsum.photos/id/136/200/200;home,food,tech
PROD2;SKU2;"Product 2";24;0;true;81.78;simple;"Description for Sample Product 2";https://picsum.photos/id/80/200/200;experience,food,tech
PROD3;SKU3;"Product 3";92;1;false;56.57;simple;"Description for Sample Product 3";https://picsum.photos/id/116/200/200;sport,experience,travel
PROD4;SKU4;"Product 4";8;1;true;38.30;simple;"Description for Sample Product 4";https://picsum.photos/id/141/200/200;sport,experience,food
PROD5;SKU5;"Product 5";32;1;false;47.34;simple;"Description for Sample Product 5";https://picsum.photos/id/477/200/200;home,sport,travel
PROD6;SKU6;"Product 6";45;1;false;81.30;simple;"Description for Sample Product 6";https://picsum.photos/id/22/200/200;home,food,tech
PROD7;SKU7;"Product 7";58;1;true;77.26;simple;"Description for Sample Product 7";https://picsum.photos/id/474/200/200;sport,experience,tech
PROD8;SKU8;"Product 8";48;0;false;55.60;simple;"Description for Sample Product 8";https://picsum.photos/id/438/200/200;sport,food,tech
PROD9;SKU9;"Product 9";41;0;true;78.46;simple;"Description for Sample Product 9";https://picsum.photos/id/176/200/200;sport,food,travel
PROD10;SKU10;"Product 10";45;1;false;28.75;simple;"Description for Sample Product 10";https://picsum.photos/id/179/200/200;sport,experience,travel
PROD11;SKU11;"Product 11";100;1;true;44.31;simple;"Description for Sample Product 11";https://picsum.photos/id/496/200/200;sport,experience,travel
PROD12;SKU12;"Product 12";11;1;false;91.99;simple;"Description for Sample Product 12";https://picsum.photos/id/87/200/200;home,experience,food
PROD13;SKU13;"Product 13";13;0;false;72.97;simple;"Description for Sample Product 13";https://picsum.photos/id/194/200/200;home,travel,tech
PROD14;SKU14;"Product 14";28;1;true;24.71;simple;"Description for Sample Product 14";https://picsum.photos/id/451/200/200;sport,experience,food
PROD15;SKU15;"Product 15";62;1;true;32.80;simple;"Description for Sample Product 15";https://picsum.photos/id/418/200/200;experience,food,travel
